status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.3,1.2375801487646563,1.1814795547500814,-0.05857187
success,0.07,1e-4,0.5,1.2671228167136348,1.157948203719679,-0.17378905
success,0.07,5e-4,0.3,1.4381571767982868,1.2280503502793103,-0.6171383
success,0.07,5e-4,0.5,1.5316659315744379,nan,-0.7574805
success,0.07,1e-3,0.3,1.4165311469576731,1.2818185782424412,-0.6039137
success,0.07,1e-3,0.5,1.5893697034283945,1.279565804110269,-0.36541274
success,0.1,1e-4,0.3,1.2894879681442437,1.166117850778942,-0.06115816
success,0.1,1e-4,0.5,1.2362020171940282,1.0305387811523308,-0.031049307
success,0.1,5e-4,0.3,1.3989125243746579,1.1838950569709763,-0.6188408
success,0.1,5e-4,0.5,1.5262493545905202,nan,-0.6619242
success,0.1,1e-3,0.3,1.3731726740184271,1.0113311276753596,-0.08814041
success,0.1,1e-3,0.5,1.564090335439487,nan,-0.77065104
success,0.2,1e-4,0.3,1.191272151382017,1.089622075550615,-0.112992704
success,0.2,1e-4,0.5,1.2640359822734974,1.1532655959362998,-0.04949557
success,0.2,5e-4,0.3,1.3565231055749487,1.1581972766096786,-0.55659926
success,0.2,5e-4,0.5,1.500961452826521,1.1668219747029007,-0.5428404
success,0.2,1e-3,0.3,1.3720592322462113,1.0723343236512768,-0.6280356
success,0.2,1e-3,0.5,1.5915332892439291,1.2717151693934123,-0.33341604
