status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.2,1.2071088003999724,1.1949575066235676,-0.04484507
success,0.07,1e-4,0.3,1.1526863478494964,1.1523532752785175,-0.050591454
success,0.07,1e-4,0.5,1.1660788665248591,1.182991917401308,-0.041174166
success,0.07,5e-4,0.2,1.0962882885285494,1.1110161882639202,-0.08362941
success,0.07,5e-4,0.3,1.193727748586784,1.1872600592711395,-0.040923014
success,0.07,5e-4,0.5,1.1921361874053142,1.1837052982862757,-0.053287085
success,0.07,1e-3,0.2,1.1558200522945339,1.1907622787784242,-0.034140307
success,0.07,1e-3,0.3,1.183955578699491,1.2048884329475138,-0.033718325
success,0.07,1e-3,0.5,1.1444930925524033,1.1893312798027131,-0.036166117
success,0.1,1e-4,0.2,1.1734775464608862,1.1992025710405976,-0.04583335
success,0.1,1e-4,0.3,1.1740902545360643,1.1832296359359429,-0.03523081
success,0.1,1e-4,0.5,1.1450682573465458,1.1614607182167178,-0.038154695
success,0.1,5e-4,0.2,1.1755985012197985,1.2044287393417776,-0.036669023
success,0.1,5e-4,0.3,1.199578276658651,1.187997738433842,-0.053371713
success,0.1,5e-4,0.5,1.173986041406768,1.1784243908273837,-0.030377625
success,0.1,1e-3,0.2,1.1689385018912248,1.1571615796295758,-0.043427125
success,0.1,1e-3,0.3,1.1782721325938388,1.1970600756659266,-0.04477823
success,0.1,1e-3,0.5,1.2161575038886143,1.2040587169044623,-0.04475154
success,0.2,1e-4,0.2,1.1855554679266698,1.2010278520905975,-0.04921984
success,0.2,1e-4,0.3,1.1899525811480565,1.2037648408239352,-0.041177846
success,0.2,1e-4,0.5,1.1876004594180265,1.1952603835242894,-0.03684886
success,0.2,5e-4,0.2,1.1561300041295741,1.134310871025086,-0.052822728
success,0.2,5e-4,0.3,1.2095221429716623,1.2077254670088617,-0.036944292
success,0.2,5e-4,0.5,1.1517456554295777,1.174035542461127,-0.034996744
success,0.2,1e-3,0.2,1.1247313209182095,1.1678192891529586,-0.037803292
success,0.2,1e-3,0.3,1.1669494076849756,1.1885188661635955,-0.031486787
success,0.2,1e-3,0.5,1.1918285889472446,1.1872209410446932,-0.039498504
