status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.2,1.3783595927058703,1.5929463707365692,-0.06725301
success,0.07,1e-4,0.3,1.480245401741281,1.5748039222055694,-0.04257744
success,0.07,1e-4,0.5,1.3784339079210617,1.5782527098829258,-0.06163283
success,0.07,5e-4,0.2,1.3949091111001428,1.4839226950182955,-0.053662114
success,0.07,5e-4,0.3,1.3854117509113029,1.501622168566168,-0.051539708
success,0.07,5e-4,0.5,1.3949394844655896,1.482952723776816,-0.052804787
success,0.1,1e-4,0.2,1.3669527646332682,1.5672212235429916,-0.065246396
success,0.1,1e-4,0.3,1.3800402805778624,1.5689090417675324,-0.06222034
success,0.1,1e-4,0.5,1.3789567572993515,1.5743857137415256,-0.05924154
success,0.1,5e-4,0.2,1.3901616828681216,1.4804063000785224,-0.05494341
success,0.1,5e-4,0.3,1.3892872638424092,1.574658719651294,-0.06646256
success,0.1,5e-4,0.5,1.387468659660168,1.5746323411705754,-0.06050892
success,0.2,1e-4,0.2,1.3751840947970109,1.5760333465015381,-0.06379626
success,0.2,1e-4,0.3,1.3801891510319528,1.5800182036941925,-0.060369845
success,0.2,1e-4,0.5,1.3731987445936347,1.5767931280628449,-0.06389707
success,0.2,5e-4,0.2,1.37761697197315,1.4931301387119107,-0.05312614
success,0.2,5e-4,0.3,1.3827074647231394,1.5839976645808322,-0.06635528
success,0.2,5e-4,0.5,1.3866637012137173,1.511251965917946,-0.057100486
