status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.2,1.3953047758304051,1.5234487102520244,-0.050234273
success,0.07,1e-4,0.3,1.3714871702672753,1.4597054452548792,-0.041720994
success,0.07,1e-4,0.5,1.4098392409289615,1.4953798376885985,-0.04307316
success,0.07,5e-4,0.2,1.3914847947416722,1.5257957376124414,-0.05178349
success,0.07,5e-4,0.3,1.3631539215526038,1.0717592326344199,-0.3938516
success,0.07,5e-4,0.5,1.367567220560581,1.5051163155488567,-0.04832968
success,0.1,1e-4,0.2,1.3676420419486752,1.460921409284495,-0.033664815
success,0.1,1e-4,0.3,1.313450128897825,1.5143392726883733,-0.059060723
success,0.1,1e-4,0.5,1.3607493965527269,1.4455069047683244,-0.04155313
success,0.1,5e-4,0.2,1.4059246104524623,1.1066773593459824,-0.47329792
success,0.1,5e-4,0.3,1.3819515165530105,1.495986764296477,-0.042139743
success,0.1,5e-4,0.5,1.3971386736411824,1.498219848237435,-0.042930216
success,0.2,1e-4,0.2,1.269621324971364,1.3996873397321128,-0.04176609
success,0.2,1e-4,0.3,1.3599294461304414,1.4745047874766395,-0.04199548
success,0.2,1e-4,0.5,1.375848363629353,1.4783819278229826,-0.04103529
success,0.2,5e-4,0.2,1.3634144309575014,1.4840121574953877,-0.04231751
success,0.2,5e-4,0.3,1.3935883449076452,1.5304784783844192,-0.051551633
success,0.2,5e-4,0.5,1.3882014085862875,1.53750447474963,-0.051420968
