epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.4321756463738815,3.4331819063209625,-0.05471321567893028,-0.05188199505209923,-0.08193536102771759,-0.00816936232149601,-0.06290915608406067,0.04895365983247757,-0.031188442930579187,0.001
2,3.4321403266185553,3.4331826244492127,-0.051684483885765076,-0.05353178828954697,-0.06188209727406502,-0.0172893013805151,-0.046605248004198074,0.06048758700489998,-0.023764169588685036,0.001
3,3.4320694700402408,3.433178453560335,-0.05882921442389488,-0.061705030500888824,-0.06126450374722481,-0.037614405155181885,-0.055556729435920715,0.053733933717012405,-0.03248134702444076,0.001
4,3.4321365107351274,3.433178332914789,-0.06952416896820068,-0.05519538372755051,0.07735104113817215,-0.0980740338563919,-0.009879263117909431,-0.052153218537569046,-0.027590171620249748,0.001
5,3.4321532368066894,3.433156800557332,-0.05717058479785919,-0.06960020214319229,-0.037866685539484024,-0.07802538573741913,-0.020371073856949806,-0.01976950652897358,-0.045126570761203764,0.001
6,3.432167718659586,3.433178424835205,-0.0816861018538475,-0.08960151672363281,-0.13174915313720703,-0.10759402811527252,-0.10109338164329529,-0.08295678347349167,-0.10259897261857986,0.001
7,3.432136030932564,3.433183009365955,-0.08163776248693466,-0.08890613913536072,-0.18275603652000427,-0.08721597492694855,-0.12117275595664978,-0.13702267408370972,-0.12341471612453461,0.001
8,3.4321800612691624,3.433183130011501,-0.08185824006795883,-0.1105356514453888,-0.13367317616939545,-0.07622761279344559,-0.10350245237350464,-0.09608467668294907,-0.10400471389293671,0.0005
9,3.432181022060451,3.433183135756527,-0.08169596642255783,-0.11036401242017746,-0.12375655025243759,-0.07565972954034805,-0.09849122911691666,-0.08589743822813034,-0.09883379191160202,0.0005
10,3.4321809686831575,3.433183150119092,-0.08156855404376984,-0.11044137924909592,-0.12162269651889801,-0.07578857988119125,-0.09852447360754013,-0.08351866155862808,-0.09797915816307068,0.0005
11,3.4321808619285696,3.433183135756527,-0.08163000643253326,-0.11103888601064682,-0.12489114701747894,-0.07625049352645874,-0.1033410131931305,-0.08774273842573166,-0.10065285563468933,0.0005
12,3.432180769407927,3.433183150119092,-0.08238355070352554,-0.11565063893795013,-0.13991853594779968,-0.08023270219564438,-0.1212981641292572,-0.10493359714746475,-0.11240672767162323,0.0005
